sectors,sector_budgets,sector_num_projects,name_project,type_project,budget_project,startday_project,enddate_project,area_project,region_project,status_project
 تجاري,1058790791316,902,قرية البحر الأحمر – Red Sea Village                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, سكني",,,,"3,600,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مجمع مطاعم – Restaurant Complex                  ,تجاري,,,,"10,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,القدية – Qiddiya                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, رياضي, سكني",,29-04-2018,,334 كلم,القدية,تحت الإنشاء
 تجاري,1058790791316,902,برج الانصاري – Ansari Tower                  ,تجاري,150000000.0,,,,"المنطقة الشرقية, الخبر",معلن عنه
 تجاري,1058790791316,902,الجوهرة مول – ALJOHARAH MALL                  ,"تجاري, ترفيهي/سياحي",,,,104.000 مترمربع,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,قرية لابالما السكنية الثانية في الرياض – LaPalma Compound Riy...                  ,"تجاري, سكني",,,,78.000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,تاون سكوير – Town Square                  ,"تجاري, ترفيهي/سياحي",,01-05-2019,31-12-2020,37.917مترمربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مركز الترفيه العائلي – Family Entertainment Center                  ,"تجاري, ترفيهي/سياحي",,01-06-2017,,9700 متر مربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الحرمين ستي سنتر – AL HARAMEEN CITY CENTER                  ,تجاري,,,,97.016 مترمربع,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,برج لو مداس – Le Mades Tower                  ,تجاري,,01-01-2016,,,"المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,سنترو أنس – Centro Anas                  ,تجاري,,,,10.800مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,سنترو كورنيش الخبر – Centro Corniche Khobar                  ,تجاري,,,01-01-2018,21.000مترمربع,"المنطقة الشرقية, الخبر",مكتمل
 تجاري,1058790791316,902,سنترو الجبيل – Centro Jubail                  ,تجاري,,,,15.000مترمربع,"المنطقة الشرقية, الجبيل",مكتمل
 تجاري,1058790791316,902,ركاء بلازا جابر – RAKA PLAZA JABER                  ,تجاري,,,,11.206 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مليباري سكوير – Malibari Square                  ,تجاري,,,,2500 مترمربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,ذا بارك – THE PARK                  ,تجاري,,,,25.755 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,الطائف بلازا – TAIF PLAZA                  ,تجاري,,,,23.736 مترمربع,"منطقة مكة المكرمة, الطائف",معلن عنه
 تجاري,1058790791316,902,الربوة بلازا – AL RABWAH PLAZA                  ,تجاري,,,,21.585 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,توسعة مستشفى دلة النخيل – DALLAH HOSPITAL EXPANSIONS OF ALNAKHEEL                  ,"تجاري, صحي",500000000.0,23-10-2014,15-06-2019,"14,500 مترمربع","منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,سنترو الخليج – Centro Khaleej                  ,تجاري,,01-01-2014,28-04-2016,21.000 مترمربع,"المنطقة الشرقية, الدمام",مكتمل
 تجاري,1058790791316,902,دايموند الخبر – diamond alkhobar malll                  ,تجاري,18000000.0,01-04-2018,01-04-2019,13250,"المنطقة الشرقية, الخبر",معلن عنه
 تجاري,1058790791316,902,توليب إن المدينة الصناعية بجدة – Tulip Inn industrial city in Jeddah...                  ,"فندقي, تجاري",153000000.0,,,"17,000 متر مربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع العقارية بالنرجس – Al-Akaria Complex in Narjis                  ,"تجاري, سكني",115780000.0,01-07-2016,31-05-2019,"25,570 متر مربع","منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,مستشفى د. سليمان الحبيب بالصحافة – Dr. Sulaiman Al-Habib Hospital in AL...                  ,"تجاري, صحي",2000000000.0,,,46.000 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,ضاحية فلل الرمال – Al Rimal Villas Complex                  ,"تجاري, سكني",538283964.0,01-11-2010,,"408,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع متعدد الاستخدام في طريق المدينة –  Mix Use Complex Madinah...                  ,"فندقي, تجاري, سكني",,01-08-2017,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع رفاد للاعمال – Refad Business Park                  ,"فندقي, تجاري",,,,"42,000 مترمربع","المنطقة الشرقية, الخبر",معلن عنه
 تجاري,1058790791316,902,كليات الأصالة – Al Asala Colleges                  ,"تجاري, تعليمي",,,,"64,155 مترمربع","المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,لو برستيج – Le Prestige                  ,تجاري,,01-07-2009,31-05-2016,"59,970 متر مربع","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,الضاحية سنتر – ALDAHIYAH CENTER                  ,تجاري,,01-05-2017,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,العليا بلازا – Olaya Plaza                  ,تجاري,,,01-06-2018,13.000 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,برج الباحة – Al Baha Tower                  ,"فندقي, تجاري, سكني",218000000.0,,,,"منطقة الباحة, الباحة",معلن عنه
 تجاري,1058790791316,902,مبنى الروضة – Rawdah Building                  ,"تجاري, سكني",,01-09-2017,,"4,787 متر مربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,برج ذا بوس – The Boss Tower                  ,تجاري,,,,"2,400 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مركز النجمة – Star Center                  ,"فندقي, تجاري",,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
